,continent
0,Europe
1,Europe
2,Europe
3,Europe
4,Europe
5,Europe
6,Europe
7,Europe
8,Europe
9,Europe
10,Europe
11,Europe
12,Europe
13,Europe
14,Europe
15,Europe
16,Europe
17,Europe
18,Europe
19,Europe
20,Europe
21,Europe
22,Europe
23,Europe
24,Europe
25,Europe
26,Europe
27,Europe
28,Europe
29,Europe
30,Europe
31,Europe
32,Europe
33,Europe
34,Europe
35,Europe
36,Europe
37,Europe
38,Europe
39,Europe
40,Europe
41,Europe
42,Europe
43,Europe
44,Europe
45,Europe
46,Europe
47,Europe
48,Europe
49,Europe
50,Europe
51,Europe
52,Europe
53,Europe
54,Europe
55,Europe
56,Europe
57,Europe
58,Europe
59,Europe
60,Europe
61,Europe
62,Europe
63,Europe
64,Europe
65,Europe
66,Europe
67,Europe
68,Europe
69,Europe
70,Europe
71,Europe
72,Europe
73,Europe
74,Europe
75,Europe
76,Europe
77,Europe
78,Europe
79,Europe
80,Europe
81,Europe
82,Europe
83,Europe
84,Europe
85,Europe
86,Europe
87,Europe
88,Europe
89,Europe
90,Europe
91,Europe
92,Europe
93,Europe
94,Europe
95,Europe
96,Europe
97,Europe
98,Europe
99,Europe
100,Europe
101,Europe
102,Europe
103,Europe
104,Europe
105,Europe
106,Europe
107,Europe
108,Europe
109,Europe
110,Europe
111,Europe
112,Europe
113,Europe
114,Europe
115,Europe
116,Europe
117,Europe
118,Europe
119,Europe
120,Europe
121,Europe
122,Europe
123,Europe
124,Europe
125,Europe
126,Europe
127,Europe
128,Europe
129,Europe
130,Europe
131,Europe
132,Europe
133,Europe
134,Europe
135,Europe
136,Europe
137,Europe
138,Europe
139,Europe
140,Europe
141,Europe
142,Europe
143,Europe
144,Europe
145,Europe
146,Europe
147,Europe
148,Europe
149,Europe
150,Europe
151,Europe
152,Europe
153,Europe
154,Europe
155,Europe
156,Europe
157,Europe
158,Europe
159,Europe
160,Europe
161,Europe
162,Europe
163,Europe
164,Europe
165,Europe
166,Europe
167,Europe
168,Europe
169,Europe
170,Europe
171,Europe
172,Europe
173,Europe
174,Europe
175,Europe
176,Europe
177,Europe
178,Europe
179,Europe
180,Europe
181,Europe
182,Europe
183,Europe
184,Europe
185,Europe
186,Europe
187,Europe
188,Europe
189,Europe
190,Europe
191,Europe
192,Europe
193,Europe
194,Europe
195,Europe
196,Europe
197,Europe
198,Europe
199,Europe
200,Europe
201,Europe
202,Europe
203,Europe
204,Europe
205,Europe
206,Europe
207,Europe
208,Europe
209,Europe
210,Europe
211,Europe
212,Europe
213,Europe
214,Europe
215,Europe
216,Europe
217,Europe
218,Europe
219,Europe
220,Europe
221,Europe
222,Europe
223,Europe
224,Europe
225,Europe
226,Europe
227,Europe
228,Europe
229,Europe
230,Europe
231,Europe
232,Europe
233,Europe
234,Europe
235,Europe
236,Europe
237,Europe
238,Europe
239,Europe
240,Europe
241,Europe
242,Europe
243,Europe
244,Europe
245,Europe
246,Europe
247,Europe
248,Europe
249,Europe
250,Europe
251,Europe
252,Europe
253,Europe
254,Europe
255,Europe
256,Europe
257,Europe
258,Europe
259,Europe
260,Europe
261,Europe
262,Europe
263,Europe
264,North America
265,North America
266,North America
267,North America
268,North America
269,North America
270,North America
271,North America
272,North America
273,North America
274,North America
275,North America
276,North America
277,North America
278,North America
279,North America
280,North America
281,North America
282,North America
283,North America
284,North America
285,North America
286,North America
287,North America
288,North America
289,North America
290,North America
291,North America
292,North America
293,North America
294,North America
295,North America
296,North America
297,North America
298,North America
299,North America
300,North America
301,North America
302,North America
303,North America
304,North America
305,North America
306,North America
307,North America
308,North America
309,North America
310,North America
311,North America
312,North America
313,North America
314,North America
315,North America
316,North America
317,North America
318,North America
319,North America
320,North America
321,North America
322,North America
323,North America
324,North America
325,North America
326,North America
327,North America
328,North America
329,North America
330,North America
331,North America
332,North America
333,North America
334,North America
335,North America
336,North America
337,North America
338,North America
339,North America
340,North America
341,North America
342,North America
343,North America
344,North America
345,North America
346,North America
347,North America
348,North America
349,North America
350,North America
351,North America
352,North America
353,North America
354,North America
355,North America
356,North America
357,North America
358,North America
359,North America
360,North America
361,North America
362,North America
363,North America
364,North America
365,North America
366,North America
367,North America
368,North America
369,North America
370,North America
371,North America
372,North America
373,North America
374,North America
375,North America
376,North America
377,North America
378,North America
379,North America
380,North America
381,North America
382,North America
383,North America
384,North America
385,North America
386,North America
387,North America
388,North America
389,North America
390,North America
391,North America
392,North America
393,North America
394,North America
395,North America
396,North America
397,North America
398,North America
399,North America
400,North America
401,North America
402,North America
403,North America
404,North America
405,North America
406,North America
407,North America
408,North America
409,North America
410,North America
411,North America
412,North America
413,North America
414,North America
415,North America
416,North America
417,North America
418,North America
419,North America
420,North America
421,North America
422,North America
423,North America
424,North America
425,North America
426,North America
427,North America
428,North America
429,North America
430,North America
431,North America
432,North America
433,North America
434,North America
435,North America
436,North America
437,North America
438,North America
439,North America
440,North America
441,North America
442,North America
443,North America
444,North America
445,North America
446,North America
447,North America
448,North America
449,North America
450,North America
451,North America
452,North America
453,North America
454,North America
455,North America
456,North America
457,North America
458,North America
459,North America
460,North America
461,North America
462,North America
463,North America
464,North America
465,North America
466,North America
467,North America
468,North America
469,North America
470,North America
471,North America
472,North America
473,North America
474,North America
475,North America
476,North America
477,North America
478,North America
479,North America
480,North America
481,North America
482,North America
483,North America
484,North America
485,North America
486,North America
487,North America
488,North America
489,North America
490,North America
491,North America
492,North America
493,North America
494,North America
495,North America
496,North America
497,North America
498,North America
499,North America
500,North America
501,North America
502,North America
503,North America
504,North America
505,North America
506,North America
507,North America
508,North America
509,North America
510,North America
511,North America
512,North America
513,North America
514,North America
515,North America
516,North America
517,North America
518,North America
519,North America
520,North America
521,North America
522,North America
523,North America
524,North America
525,North America
526,North America
527,North America
528,North America
529,North America
530,North America
531,North America
532,North America
533,North America
534,North America
535,North America
536,North America
537,North America
538,North America
539,North America
540,North America
541,North America
542,North America
543,North America
544,North America
545,North America
546,North America
547,North America
548,North America
549,North America
550,North America
551,North America
552,North America
553,North America
554,North America
555,North America
556,North America
557,North America
558,North America
559,North America
560,North America
561,North America
562,North America
563,North America
564,North America
565,North America
566,North America
567,North America
568,North America
569,North America
570,North America
571,North America
572,North America
573,North America
574,North America
575,North America
576,North America
577,North America
578,North America
579,North America
580,North America
581,North America
582,North America
583,North America
584,North America
585,North America
586,North America
587,North America
588,South America
589,South America
590,South America
591,South America
592,South America
593,South America
594,South America
595,South America
596,South America
597,South America
598,South America
599,South America
600,South America
601,South America
602,South America
603,South America
604,South America
605,South America
606,South America
607,South America
608,South America
609,South America
610,South America
611,South America
612,South America
613,South America
614,South America
615,South America
616,South America
617,South America
618,South America
619,South America
620,South America
621,South America
622,South America
623,South America
624,South America
625,South America
626,South America
627,South America
628,South America
629,South America
630,South America
631,South America
632,South America
633,South America
634,South America
635,South America
636,South America
637,South America
638,South America
639,South America
640,South America
641,South America
642,South America
643,South America
644,South America
645,South America
646,South America
647,South America
648,South America
649,South America
650,South America
651,South America
652,South America
653,South America
654,South America
655,South America
656,South America
657,South America
658,South America
659,South America
660,South America
661,South America
662,South America
663,South America
664,South America
665,South America
666,South America
667,South America
668,South America
669,South America
670,South America
671,South America
672,South America
673,South America
674,South America
675,South America
676,South America
677,South America
678,South America
679,South America
680,South America
681,South America
682,South America
683,South America
684,South America
685,South America
686,South America
687,South America
688,South America
689,South America
690,South America
691,South America
692,South America
693,South America
694,South America
695,South America
696,South America
697,South America
698,South America
699,South America
700,South America
701,South America
702,South America
703,South America
704,South America
705,South America
706,South America
707,South America
708,South America
709,South America
710,South America
711,South America
712,South America
713,South America
714,South America
715,South America
716,South America
717,South America
718,South America
719,South America
720,South America
721,South America
722,South America
723,South America
724,South America
725,South America
726,South America
727,South America
728,South America
729,South America
730,South America
731,South America
732,South America
733,South America
734,South America
735,South America
736,South America
737,South America
738,South America
739,South America
740,South America
741,South America
742,South America
743,South America
744,South America
745,South America
746,South America
747,South America
748,South America
749,South America
750,South America
751,South America
752,South America
753,South America
754,South America
755,South America
756,South America
757,South America
758,South America
759,South America
760,South America
761,South America
762,South America
763,South America
764,South America
765,South America
766,South America
767,South America
768,South America
769,South America
770,South America
771,South America
772,South America
773,South America
774,South America
775,South America
776,South America
777,South America
778,South America
779,South America
780,South America
781,South America
782,South America
783,South America
784,South America
785,South America
786,South America
787,South America
788,South America
789,South America
790,South America
791,South America
792,South America
793,South America
794,South America
795,South America
796,South America
797,South America
798,South America
799,South America
800,South America
801,South America
802,South America
803,South America
804,South America
805,South America
806,South America
807,South America
808,South America
809,South America
810,South America
811,South America
812,South America
813,South America
814,South America
815,South America
816,South America
817,South America
818,South America
819,South America
820,South America
821,South America
822,South America
823,South America
824,South America
825,South America
826,South America
827,South America
828,South America
829,South America
830,South America
831,South America
832,South America
833,South America
834,South America
835,South America
836,South America
837,South America
838,South America
839,South America
840,South America
841,South America
842,South America
843,South America
844,South America
845,South America
846,South America
847,South America
848,South America
849,South America
850,South America
851,South America
852,South America
853,South America
854,South America
855,South America
856,South America
857,South America
858,South America
859,South America
860,South America
861,South America
862,South America
863,South America
864,South America
865,South America
866,South America
867,South America
868,South America
869,South America
870,South America
871,South America
872,South America
873,South America
874,South America
875,South America
876,South America
877,South America
878,South America
879,South America
880,South America
881,South America
882,South America
883,South America
884,South America
885,South America
886,South America
887,South America
888,South America
889,South America
890,South America
891,South America
892,South America
893,South America
894,South America
895,South America
896,South America
897,South America
898,South America
899,South America
900,South America
901,South America
902,South America
903,South America
904,South America
905,South America
906,South America
907,South America
908,South America
909,South America
910,South America
911,South America
912,South America
913,South America
914,South America
915,South America
916,South America
917,South America
918,South America
919,South America
920,South America
921,South America
922,South America
923,South America
924,South America
925,South America
926,South America
927,South America
928,South America
929,South America
930,South America
931,South America
932,South America
933,South America
934,South America
935,South America
936,South America
937,South America
938,South America
939,South America
940,South America
941,South America
942,South America
943,South America
944,South America
945,South America
946,South America
947,South America
948,South America
949,South America
950,South America
951,South America
952,South America
953,South America
954,South America
955,South America
956,South America
957,South America
958,South America
959,South America
960,Asia
961,Asia
962,Asia
963,Asia
964,Asia
965,Asia
966,Asia
967,Asia
968,Asia
969,Asia
970,Asia
971,Asia
972,Asia
973,Asia
974,Asia
975,Asia
976,Asia
977,Asia
978,Asia
979,Asia
980,Asia
981,Asia
982,Asia
983,Asia
984,Asia
985,Asia
986,Asia
987,Asia
988,Asia
989,Asia
990,Asia
991,Asia
992,Asia
993,Asia
994,Asia
995,Asia
996,Asia
997,Asia
998,Asia
999,Asia
1000,Asia
1001,Asia
1002,Asia
1003,Asia
1004,Asia
1005,Asia
1006,Asia
1007,Asia
1008,Asia
1009,Asia
1010,Asia
1011,Asia
1012,Asia
1013,Asia
1014,Asia
1015,Asia
1016,Asia
1017,Asia
1018,Asia
1019,Asia
1020,Asia
1021,Asia
1022,Asia
1023,Asia
1024,Asia
1025,Asia
1026,Asia
1027,Asia
1028,Asia
1029,Asia
1030,Asia
1031,Asia
1032,Asia
1033,Asia
1034,Asia
1035,Asia
1036,Asia
1037,Asia
1038,Asia
1039,Asia
1040,Asia
1041,Asia
1042,Asia
1043,Asia
1044,Asia
1045,Asia
1046,Asia
1047,Asia
1048,Asia
1049,Asia
1050,Asia
1051,Asia
1052,Asia
1053,Asia
1054,Asia
1055,Asia
